data,pontuacao_geral,conceitos_nevem,arquitetura_servicos,gerenciamento_governanca
22/10/2025,"0,82",1,1,0
25/10/2025,"0,88",1,1,0
27/10/2025,"0,94",1,1,1
29/10/2025,"0,92",1,1,1
30/10/2025,"0,94",1,1,1
08/11/2025,"0,90",1,1,1
17/11/2025,"0,96",1,1,1
19/11/2025,"0,94",1,1,1
21/11/2025,"0,96",1,1,1
23/11/2025,1,1,1,1
26/11/2025,"0,96",1,1,1
03/12/2025,0.92,1,1,1
04/12/2025,"0,94",1,1,1
06/12/2025,"0,96",1,1,1
07/12/2025,"0,98",1,1,1
09/12/2025,"0,94",1,1,1
10/12/2025,"0,98",1,1,1
11/12/2025,"0,96",1,1,1
12/12/2025,"0,98",1,1,1
15/12/2025,"0,94",1,1,1
16/12/2025,1,1,1,1
17/12/2025,1,1,1,1
18/12/2025,"0,96",1,1,1
